Date,Close,nifty_return,nifty_next_day_return
2017-01-02,8179.5,,0.0015587749862460143
2017-01-03,8192.25,0.0015587749862460143,-0.00021361652781592966
2017-01-04,8190.5,-0.00021361652781592966,0.01017029542610337
2017-01-05,8273.7998046875,0.01017029542610337,-0.0036259035398709116
2017-01-06,8243.7998046875,-0.0036259035398709116,-0.0009401004613908137
2017-01-09,8236.0498046875,-0.0009401004613908137,0.0063804622280927425
2017-01-10,8288.599609375,0.0063804622280927425,0.01110570972035907
2017-01-11,8380.650390625,0.01110570972035907,0.003167988574872327
2017-01-12,8407.2001953125,0.003167988574872327,-0.0008148474852923693
2017-01-13,8400.349609375,-0.0008148474852923693,0.0014821044232022906
2017-01-16,8412.7998046875,0.0014821044232022906,-0.0017592008642893786
2017-01-17,8398.0,-0.0017592008642893786,0.002262443438914019
2017-01-18,8417.0,0.002262443438914019,0.0021503634757038537
2017-01-19,8435.099609375,0.0021503634757038537,-0.010165855054597661
2017-01-20,8349.349609375,-0.010165855054597661,0.005048344194100052
2017-01-23,8391.5,0.005048344194100052,0.010045856484240057
2017-01-24,8475.7998046875,0.010045856484240057,0.014977960574563243
2017-01-25,8602.75,0.014977960574563243,0.00447531312661642
2017-01-27,8641.25,0.00447531312661642,-0.0009836539852451365
2017-01-30,8632.75,-0.0009836539852451365,-0.008276643631809133
2017-01-31,8561.2998046875,-0.008276643631809133,0.01811647640847469
2017-02-01,8716.400390625,0.01811647640847469,0.002047818890261066
2017-02-02,8734.25,0.002047818890261066,0.0007671174184962215
2017-02-03,8740.9501953125,0.0007671174184962215,0.006875638006406781
2017-02-06,8801.0498046875,0.006875638006406781,-0.0037211469911869743
2017-02-07,8768.2998046875,-0.0037211469911869743,8.55353964515082e-05
2017-02-08,8769.0498046875,8.55353964515082e-05,0.0010663168924529565
2017-02-09,8778.400390625,0.0010663168924529565,0.0017257602055471555
2017-02-10,8793.5498046875,0.0017257602055471555,0.001307776751758416
2017-02-13,8805.0498046875,0.001307776751758416,-0.0014480326951941125
2017-02-14,8792.2998046875,-0.0014480326951941125,-0.007688501401983627
2017-02-15,8724.7001953125,-0.007688501401983627,0.006109070053333943
2017-02-16,8778.0,0.006109070053333943,0.004978377228582742
2017-02-17,8821.7001953125,0.004978377228582742,0.0065180179247708026
2017-02-20,8879.2001953125,0.0065180179247708026,0.003226575978951818
2017-02-21,8907.849609375,0.003226575978951818,0.0021386509747480797
2017-02-22,8926.900390625,0.0021386509747480797,0.0014114204061503877
2017-02-23,8939.5,0.0014114204061503877,-0.004787717958219084
2017-02-27,8896.7001953125,-0.004787717958219084,-0.0019221268068030373
2017-02-28,8879.599609375,-0.0019221268068030373,0.007455313102474381
2017-03-01,8945.7998046875,0.007455313102474381,-0.0051476453411544165
2017-03-02,8899.75,-0.0051476453411544165,-0.0002472199008398679
2017-03-03,8897.5498046875,-0.0002472199008398679,0.00740657732427441
2017-03-06,8963.4501953125,0.00740657732427441,-0.0018463654426456033
2017-03-07,8946.900390625,-0.0018463654426456033,-0.0025260799775062015
2017-03-08,8924.2998046875,-0.0025260799775062015,0.0003025666294942386
2017-03-09,8927.0,0.0003025666294942386,0.0008457269729471584
2017-03-10,8934.5498046875,0.0008457269729471584,0.017062996865551794
2017-03-14,9087.0,0.017062996865551794,-0.0002421255983823256
2017-03-15,9084.7998046875,-0.0002421255983823256,0.0075841396735512046
2017-03-16,9153.7001953125,0.0075841396735512046,0.0006936658662091144
2017-03-17,9160.0498046875,0.0006936658662091144,-0.0036244557639315556
2017-03-20,9126.849609375,-0.0036244557639315556,-0.0005861397529225432
2017-03-21,9121.5,-0.0005861397529225432,-0.009981889457600146
2017-03-22,9030.4501953125,-0.009981889457600146,0.006184587497530369
2017-03-23,9086.2998046875,0.006184587497530369,0.002388232369495924
2017-03-24,9108.0,0.002388232369495924,-0.006895015885759803
2017-03-27,9045.2001953125,-0.006895015885759803,0.006146863328001739
2017-03-28,9100.7998046875,0.006146863328001739,0.004724859454424246
2017-03-29,9143.7998046875,0.004724859454424246,0.003275464899958447
2017-03-30,9173.75,0.003275464899958447,0.0
2017-03-31,9173.75,0.0,0.006987285393105225
2017-04-03,9237.849609375,0.006987285393105225,0.002955317785461098
2017-04-05,9265.150390625,0.002955317785461098,-0.00034540133484917135
2017-04-06,9261.9501953125,-0.00034540133484917135,-0.006872244968150865
2017-04-07,9198.2998046875,-0.006872244968150865,-0.0018318178068531532
2017-04-10,9181.4501953125,-0.0018318178068531532,0.006050221207523521
2017-04-11,9237.0,0.006050221207523521,-0.003632110499891761
2017-04-12,9203.4501953125,-0.003632110499891761,-0.005720723153564311
2017-04-13,9150.7998046875,-0.005720723153564311,-0.0012567207506942735
2017-04-17,9139.2998046875,-0.0012567207506942735,-0.003736545992832463
2017-04-18,9105.150390625,-0.003736545992832463,-0.00018125901870869043
2017-04-19,9103.5,-0.00018125901870869043,0.003614037526775471
2017-04-20,9136.400390625,0.003614037526775471,-0.0018606890321317682
2017-04-21,9119.400390625,-0.0018606890321317682,0.010806610135114969
2017-04-24,9217.9501953125,0.010806610135114969,0.00961704198701141
2017-04-25,9306.599609375,0.00961704198701141,0.004862141050359314
2017-04-26,9351.849609375,0.004862141050359314,-0.001037144431864756
2017-04-27,9342.150390625,-0.001037144431864756,-0.004078352878555069
2017-04-28,9304.0498046875,-0.004078352878555069,0.0010479307618374012
2017-05-02,9313.7998046875,0.0010479307618374012,-0.00019858805361794296
2017-05-03,9311.9501953125,-0.00019858805361794296,0.005149318274558334
2017-05-04,9359.900390625,0.005149318274558334,-0.007970232889681239
2017-05-05,9285.2998046875,-0.007970232889681239,0.0030962920535411165
2017-05-08,9314.0498046875,0.0030962920535411165,0.0003006001413146109
2017-05-09,9316.849609375,0.0003006001413146109,0.009708238203339103
2017-05-10,9407.2998046875,0.009708238203339103,0.0016051987553300506
2017-05-11,9422.400390625,0.0016051987553300506,-0.002281796475279485
2017-05-12,9400.900390625,-0.002281796475279485,0.004733589140501593
2017-05-15,9445.400390625,0.004733589140501593,0.007077477566896029
2017-05-16,9512.25,0.007077477566896029,0.0014192225814082526
2017-05-17,9525.75,0.0014192225814082526,-0.010109419697924005
2017-05-18,9429.4501953125,-0.010109419697924005,-0.00016435790585866972
2017-05-19,9427.900390625,-0.00016435790585866972,0.001097763971423804
2017-05-22,9438.25,0.001097763971423804,-0.00552004973114717
2017-05-23,9386.150390625,-0.00552004973114717,-0.0027274851639997877
2017-05-24,9360.5498046875,-0.0027274851639997877,0.015939255537936958
2017-05-25,9509.75,0.015939255537936958,0.008974958266515953
2017-05-26,9595.099609375,0.008974958266515953,0.00102143611312
2017-05-29,9604.900390625,0.00102143611312,0.0020457696866569286
2017-05-30,9624.5498046875,0.0020457696866569286,-0.0003428528870922376
2017-05-31,9621.25,-0.0003428528870922376,-0.0005353140834091219
2017-06-01,9616.099609375,-0.0005353140834091219,0.00388935141525959
2017-06-02,9653.5,0.00388935141525959,0.002237489964779682
2017-06-05,9675.099609375,0.002237489964779682,-0.003922359487981697
2017-06-06,9637.150390625,-0.003922359487981697,0.002775716774745085
2017-06-07,9663.900390625,0.002775716774745085,-0.0017229472523487832
2017-06-08,9647.25,-0.0017229472523487832,0.0021767861307626646
2017-06-09,9668.25,0.0021767861307626646,-0.005362874292141773
2017-06-12,9616.400390625,-0.005362874292141773,-0.0009878956380873216
2017-06-13,9606.900390625,-0.0009878956380873216,0.0011710332721861505
2017-06-14,9618.150390625,0.0011710332721861505,-0.0041692616884621
2017-06-15,9578.0498046875,-0.0041692616884621,0.001044053873587636
2017-06-16,9588.0498046875,0.001044053873587636,0.007248606485755094
2017-06-19,9657.5498046875,0.007248606485755094,-0.0004193408027297618
2017-06-20,9653.5,-0.0004193408027297618,-0.0020614689620345183
2017-06-21,9633.599609375,-0.0020614689620345183,-0.00037365154469337636
2017-06-22,9630.0,-0.00037365154469337636,-0.005716490621754944
2017-06-23,9574.9501953125,-0.005716490621754944,-0.006637089842891464
2017-06-27,9511.400390625,-0.006637089842891464,-0.0021185514012070916
2017-06-28,9491.25,-0.0021185514012070916,0.0013538374160411148
2017-06-29,9504.099609375,0.0013538374160411148,0.0017677404426008625
2017-06-30,9520.900390625,0.0017677404426008625,0.009883477981521338
2017-07-03,9615.0,0.009883477981521338,-0.00017682738559543498
2017-07-04,9613.2998046875,-0.00017682738559543498,0.0025277277502206985
2017-07-05,9637.599609375,0.0025277277502206985,0.003833962481337938
2017-07-06,9674.5498046875,0.003833962481337938,-0.0009044348498532528
2017-07-07,9665.7998046875,-0.0009044348498532528,0.010888907501369838
2017-07-10,9771.0498046875,0.010888907501369838,0.001535147225716127
